23	Senior	Computer Science	3.78	Yes	Weightlifting club, church choir	4	1	1	5	1	4	5	3	1	3	1	5	5	1	5	5	1	4	5	5	65
21	Senior	Computer Science	3.5	No		5	3	2	4	3	2	3	1	1	4	3	4	3	3	4	4	4	4	3	2	62
21	Senior	Computer Science	3.49	No		5	3	2	4	2	3	4	3	3	4	2	3	3	3	4	4	4	2	5	3	66
22	Senior	Computer Science	3.5	No		4	3	3	3	3	3	4	4	3	2	3	4	3	4	3	4	4	2	4	2	65
21	Senior	Computer Science	3.47	No		4	4	4	2	5	4	3	2	1	2	5	5	4	4	2	2	5	3	5	4	70
21	Senior	Computer Science	3	Yes	Costume Theatre (sometimes) & Cosplay Club E-Board	4	4	4	5	5	4	5	4	4	4	5	5	4	4	5	5	5	3	4	3	86
24	Senior	Computer Science	2.69	No		4	4	4	2	1	4	5	3	1	2	3	2	4	3	3	4	2	4	3	1	59
21	Senior	Computer Science	2.8	Yes	Radio Club	4	4	4	3	4	4	5	3	4	3	5	3	4	3	3	3	5	3	5	3	75
22	Senior	Computer Science	3.12	Yes		4	5	2	4	3	5	3	5	2	4	4	3	5	5	2	5	4	2	1	1	69
24	Senior	Computer Science	3.75	Yes	Radio Show, Starting a Storytelling Club, Running Community Events	5	5	1	5	5	2	4	5	4	5	5	5	2	5	5	5	2	5	5	1	81
21	Senior	Computer Science	2.82	Yes	My jobs: Office administrator and dog walker	3	3	4	5	5	4	3	4	3	5	5	5	5	4	5	4	5	5	5	5	87
23	Senior	Computer Science	2.5	No		4	5	4	4	4	3	5	4	3	4	3	4	3	4	3	4	4	5	5	4	79
22	Senior	Computer Science	3.92	No		4	4	5	2	3	4	4	3	1	2	2	5	5	4	3	2	5	3	3	4	68
27	Senior	Computer Science	2.8	No		4	2	2	4	2	2	3	3	2	3	3	3	2	3	3	3	3	3	3	1	54
22	Senior	Health Science 	3.2	Yes	Baseball	5	3	2	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	62
20	Sophomore	Psychology	3.62	Yes	Baseball	4	3	4	5	4	5	3	5	3	4	4	5	4	4	4	5	5	4	4	5	84
20	Sophomore	Health Science 	3.3	Yes	Baseball,  investment club 	4	4	3	3	3	3	4	3	2	4	2	4	4	4	3	4	2	3	4	5	68
21	Senior	Health Science	3.65	Yes	Baseball	4	2	2	2	4	3	4	2	2	4	3	4	4	4	2	3	4	4	3	2	62
20	Sophomore	Finance	3.5	Yes	Baseball	4	3	4	4	3	4	5	3	2	4	2	5	4	4	3	3	5	4	4	3	73
22	Senior	Business Administration 	3.5	No		5	3	3	5	3	4	1	1	2	4	1	1	2	4	2	4	4	5	3	2	59
21	Senior	Health Science 	3.2	Yes	Baseball	2	3	2	4	3	1	3	4	1	4	2	5	2	2	4	4	4	3	3	4	60
18	Freshman	Criminology 	3.7	Yes	Baseball and Emergency Services and Public Safety Careers Club	4	5	2	5	2	3	4	2	1	5	2	5	5	3	5	1	5	4	5	2	70
21	Senior	Business Administration	3.5	Yes	Baseball 	3	3	4	4	2	2	3	2	2	2	1	2	3	2	3	4	3	3	4	2	54
21	Senior	Exercise Science	3.2	Yes	Baseball	3	3	2	1	4	1	2	2	1	1	1	1	1	1	1	1	2	1	1	2	32
20	Junior	Finance	3.3	Yes	Baseball	4	4	2	5	3	4	4	4	2	4	2	4	3	4	3	2	4	3	4	3	68
20	Junior	Finance 	3.3	No		3	3	1	1	1	1	3	1	1	1	1	3	3	3	1	1	3	2	2	2	37
19	Freshman	Finance	4	Yes	Baseball	5	5	5	5	4	3	3	3	3	5	2	4	1	4	2	3	4	3	3	3	70
18	Freshman	Business Administration 	3.6	Yes	Baseball 	5	5	2	3	1	1	4	2	1	4	1	5	5	2	2	2	3	2	4	4	58
